Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,7194.892090,9553.125977,6914.996094,9350.529297,9350.529297,852872174477
2020-02-01,9346.357422,10457.626953,8492.932617,8599.508789,8599.508789,1163376492755
2020-03-01,8599.758789,9167.695313,4106.980957,6438.644531,6438.644531,1290442059630
2020-04-01,6437.319336,9440.650391,6202.373535,8658.553711,8658.553711,1156127164810
2020-05-01,8672.782227,9996.743164,8374.323242,9461.058594,9461.058594,1286368141494
2020-06-01,9463.605469,10199.565430,8975.525391,9137.993164,9137.993164,650913318666
2020-07-01,9145.985352,11415.864258,8977.015625,11323.466797,11323.466797,545813339092
2020-08-01,11322.570313,12359.056641,11012.415039,11680.820313,11680.820313,708377092116
2020-09-01,11679.316406,12067.081055,9916.493164,10787.618164,10787.618164,893852011685
2020-10-01,10785.010742,14028.213867,10440.311523,13780.995117,13780.995117,820989969802
2020-11-01,13780.995117,19749.263672,13243.160156,19625.835938,19625.835938,1093144913212
2020-12-01,19633.769531,29244.876953,17619.533203,29001.720703,29001.720703,1212259707929
2021-01-01,28994.009766,41946.738281,28722.755859,40254.546875,40254.546875,646115014606
2021-01-11,37678.738281,38081.699219,36338.992188,36406.992188,36406.992188,80837337088
